"Year","Quarter","Group","Unit","Inflation Deflator","Adult Population","Working Age Population","Household Population","Real Total Factor Income","Real Factor Income Share","Real Factor Income Per Unit Growth","Real Factor Income Per Unit"
"1999","3","Bottom 50%","Households","0.58328746","100178431.60481031","82886655.2516367","73268668.06555395","1350231743377.9236","0.0942947875801212","0.09153412330751465","18428.50128201952"
"1999","4","Bottom 50%","Households","0.5865095833333333","100473055.61871125","83166934.50433227","73561506.86736165","1370884133618.334","0.09427862944763353","0.10381790117645949","18635.889774392028"
"2000","1","Bottom 50%","Households","0.59040364","100795020.79564083","83480385.40580909","73843524.40393066","1396421658193.015","0.09420846425875956","0.12008623309926819","18910.549969885833"
"2000","2","Bottom 50%","Households","0.5940838466666667","101131940.18973844","83811515.90803045","74121095.23246972","1395709617367.2424","0.0935746353028493","0.1153227041552168","18830.1267404348"
"2000","3","Bottom 50%","Households","0.59756557","101428468.24961118","84109187.3027582","74369071.22028165","1405169372981.1045","0.09343695496346684","0.11913793612806416","18894.539758591098"
"2000","4","Bottom 50%","Households","0.6008106066666666","101713269.72347711","84397125.97675268","74608444.04597796","1411183461981.0276","0.09363885136669671","0.12032182152939243","18914.52743755621"
"2001","1","Bottom 50%","Households","0.6047504533333333","102033059.4249282","84675479.6921366","74824334.78204016","1420522038731.7551","0.09342534170334245","0.12448175011092545","18984.760009823945"
"2001","2","Bottom 50%","Households","0.6084077733333334","102367629.59400682","84946788.70203114","75026454.96989869","1422152319061.6926","0.09383737828481216","0.12273946172946637","18955.3447464934"
"2001","3","Bottom 50%","Households","0.6107976633333334","102657449.61230652","85180957.8812547","75195741.62105423","1418567270160.1453","0.09455705419812942","0.11738796225074338","18864.994740113812"
"2001","4","Bottom 50%","Households","0.6126988733333333","102925120.62144268","85396747.20777561","75348794.0087416","1412623509335.2878","0.09453939147301554","0.11044594852503152","18747.791891286302"
"2002","1","Bottom 50%","Households","0.6146763566666666","103226791.43070912","85657105.73894437","75582957.3004122","1424758954567.8977","0.09448520349511533","0.1165156495948581","18850.267381111425"
"2002","2","Bottom 50%","Households","0.6168066466666667","103532146.82059641","85928700.38616267","75847926.67015053","1436035609526.8064","0.09446883443699862","0.12142128648833733","18933.089836085775"
"2002","3","Bottom 50%","Households","0.6197768266666667","103789172.2109897","86160173.52463438","76077468.86604528","1435785349209.852","0.0941103375691694","0.11784287336192818","18872.6750588658"
"2002","4","Bottom 50%","Households","0.6233348666666666","104044973.8636951","86390614.34937859","76306076.71307974","1442525475383.8362","0.09366930702746801","0.11972575274071345","18904.463936835724"
"2003","1","Bottom 50%","Households","0.62644247","104342415.00312804","86641003.54844932","76532108.46403556","1438457739119.1174","0.09367764380717833","0.11327057085819206","18795.4803283002"
"2003","2","Bottom 50%","Households","0.6286033000000001","104661625.09633708","86902159.71627824","76757558.97245668","1438085389965.6697","0.09270168818036016","0.10971337150296208","18735.42370571875"
"2003","3","Bottom 50%","Households","0.6321765966666666","104929569.10353963","87120749.69281067","76945413.46646644","1447611656231.1533","0.0921321680489943","0.11433721227618435","18813.488563058232"
"2003","4","Bottom 50%","Households","0.6360706666666667","105206014.31833799","87346400.01478751","77139506.4417692","1456026569857.2227","0.09174545694711086","0.11799469870994543","18875.23834439287"
"2004","1","Bottom 50%","Households","0.64056784","105526213.70068479","87608018.0782358","77381801.55675964","1455107669089.5754","0.09074583879222081","0.11379071485705211","18804.261981704476"
"2004","2","Bottom 50%","Households","0.6457140633333334","105865083.37279324","87884954.19260477","77645854.48329316","1461296522926.1133","0.09031460916010219","0.11472406557465448","18820.019853610294"
"2004","3","Bottom 50%","Households","0.6498601066666666","106163159.04346015","88128023.00820716","77879993.47707811","1485187756766.0508","0.09060983423444016","0.1295429619030051","19070.20905443676"
"2004","4","Bottom 50%","Households","0.6548841166666667","106433775.01146446","88348297.68369728","78093985.85511318","1476658584442.5586","0.08985169050116132","0.11997880751808537","18908.73629093776"
"2005","1","Bottom 50%","Households","0.6600991466666667","106757000.34317724","88614117.20885319","78395267.69806062","1481715925581.2393","0.08931486482572688","0.11949562626586797","18900.57868401022"
"2005","2","Bottom 50%","Households","0.6649017533333333","107107059.75543626","88903146.8687741","78740644.89963712","1492348562716.7712","0.08918545329516452","0.12258336963409164","18952.709424959878"
"2005","3","Bottom 50%","Households","0.6709489599999999","107412297.57573609","89154972.14787559","79053110.52205776","1489660127100.9768","0.08834373181219385","0.11613192464046776","18843.78890676699"
"2005","4","Bottom 50%","Households","0.6763776933333333","107703844.65348928","89395433.84676638","79355496.13501464","1502876652921.487","0.0880087197700658","0.12174366730348567","18938.532629983285"
"2006","1","Bottom 50%","Households","0.68114213","108028929.1366399","89666873.4401051","79624768.28504345","1525596650669.787","0.08789553805557755","0.1348510007482268","19159.82530973785"
"2006","2","Bottom 50%","Households","0.6871816900000001","108367131.1983611","89950772.01170266","79874799.17743774","1536954092039.7883","0.08832684993183759","0.13972064763767805","19242.04014116548"
"2006","3","Bottom 50%","Households","0.6919767033333333","108657257.7389453","90194764.62334438","80089394.6325072","1537247323567.0896","0.08816748792298006","0.1368836859392178","19194.14337716996"
"2006","4","Bottom 50%","Households","0.6945651333333333","108930123.83208583","90424427.29700191","80291267.19151737","1544147334831.1873","0.08849953372203774","0.13911540170976466","19231.82170170461"
